ONS LA Code,Region/Local Authority,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses and coaches,Other vehicles 2,Total,Diesel Cars,Diesel Vans
E08000002,      Bury,109.6,2.4,8.1,0.8,0.2,0.7,121.9,37.3,7.9
E08000003,      Manchester,159.4,3,15.4,2.9,1.1,1.4,183.3,59.5,15.1
E08000004,      Oldham,93.3,2.8,8.9,1.1,0.7,0.9,107.7,35.5,8.7
E08000005,      Rochdale,92.2,2.6,9.4,2.3,0.3,0.8,107.5,36.1,9.2
E08000006,      Salford,94.7,2.6,10.3,1.6,0.3,1,110.5,33.9,10
E08000007,      Stockport,147.1,4.1,13.1,1.2,1.2,1.1,167.7,49.2,12.7
E08000008,      Tameside,99.4,3.3,11.2,9.4,0.2,0.9,124.3,35.1,10.9
E08000009,      Trafford,112.9,2.8,9.5,4.6,0.3,1.2,131.1,40,9.1
E08000010,      Wigan,154.2,6.3,17.4,2.1,0.6,1.5,182.1,59.2,17.1
E10000017,   Lancashire,594.1,26,71.4,13.5,2.5,15.9,723.4,244.4,69.1
E07000117,      Burnley,37.7,1.3,4.1,0.6,0.1,0.5,44.3,16,4
E07000118,      Chorley,61.5,2.8,7.6,0.9,0.3,1.3,74.5,25.5,7.3
E07000119,      Fylde,44.7,1.7,3.9,0.4,0.1,1,51.8,16.5,3.8
E07000120,      Hyndburn,36.3,1.3,4.3,0.7,0.1,0.4,43.1,15.4,4.2
E07000121,      Lancaster,63.8,3.1,7.9,1.2,0.3,2.2,78.5,26.5,7.6
E07000122,      Pendle,41.1,1.5,5.4,0.6,0.2,0.9,49.6,18.8,5.2
E07000123,      Preston,60.5,2,6.7,1,0.3,1.2,71.7,25.3,6.5
E07000124,      Ribble Valley,34.8,1.3,4.7,0.7,0.2,2,43.8,14.9,4.5
E07000125,      Rossendale,35.4,1.6,4.6,0.5,0.1,0.6,42.8,15.2,4.4
E07000126,      South Ribble,60.2,2.6,7.6,3.7,0.4,1,75.4,24.1,7.3
E07000127,      West Lancashire,59.5,4.1,7.8,2.4,0.3,2.6,76.8,23.9,7.6
E07000128,      Wyre,58.6,2.6,6.8,0.7,0.1,2,70.9,22.4,6.6
,      Local Authority District unknown 3,0.1,-,-,-,-,-,0.2,-,-
E11000002,   Merseyside (Met County),574.3,17.5,59.8,5.4,3.8,7.3,668.1,208.9,58.2
E08000011,      Knowsley,59.7,1.3,6.5,1.1,0.3,0.8,69.6,23.4,6.4
E08000012,      Liverpool,153.4,3.1,11.8,1.7,1.2,1.6,172.8,56.6,11.5
E08000014,      Sefton,123.9,4,10.8,0.9,1.5,1.2,142.1,45,10.4
E08000013,      St. Helens,85.9,3.2,8.7,1,0.3,2.5,101.7,31.6,8.5
E08000015,      Wirral,151.4,5.9,22,0.8,0.5,1.2,181.9,52.4,21.4
,      Local Authority District unknown 3,0.6,0.3,0.1,-,-,0.1,1.1,0.1,0.1
E12000003,Yorkshire and The Humber,"2,546.80",100.6,304.8,52,11.3,67.1,"3,082.60","1,073.90",295.5
E06000011,   East Riding of Yorkshire UA,185.8,9.7,22.2,3.6,0.6,9.3,231.3,79.7,21.5
E06000010,   Kingston upon Hull City UA,95.6,4.7,11.9,5.8,0.7,1.3,120.1,37.1,11.6
E06000012,   North East Lincolnshire UA,71.3,3.4,9.3,1.1,0.5,0.9,86.5,27.5,9
E06000013,   North Lincolnshire UA,88.9,5.2,11.8,2.8,0.4,3.3,112.3,41.7,11.4
E06000014,   York UA,86.5,4.6,8.7,0.6,0.3,1.4,102.2,31.4,8.4
E10000023,   North Yorkshire,333.9,16.7,49.9,6.8,1.6,26.9,435.9,144.8,48
E07000163,      Craven,30.8,1.3,5.8,0.8,0.1,2.4,41.1,12.9,5.5
E07000164,      Hambleton,53.3,2.3,8.6,1.3,0.3,5.5,71.2,24.4,8.3
E07000165,      Harrogate,90.4,3.7,11.7,1.6,0.7,6.5,114.5,36.2,11.1
E07000166,      Richmondshire,27.2,1.2,4.5,0.8,0.1,2.7,36.4,13.6,4.3
E07000167,      Ryedale,31.4,1.9,5.9,0.7,0.1,4.7,44.7,14.8,5.7
E07000168,      Scarborough,50.3,3.5,7.4,0.6,0.2,2.8,64.7,19.6,7.1
E07000169,      Selby,50.6,2.8,6.2,1.1,0.1,2.4,63.2,23.4,6
,      Local Authority District unknown 3,0.1,-,-,-,0,-,0.1,-,-
E11000003,   South Yorkshire (Met County),613.8,22.4,66.7,10.6,2.6,9.8,725.9,267.5,64.8
E08000016,      Barnsley,115.7,5,13.9,1.9,0.7,2.3,139.5,52,13.5
E08000017,      Doncaster,151.1,5.7,17,4.4,0.3,3.3,182,72.5,16.6
E08000018,      Rotherham,125.3,4.7,12.9,1.7,0.4,1.5,146.5,56.2,12.6
E08000019,      Sheffield,221.7,7,22.8,2.7,1.1,2.7,257.9,86.8,22.1
E11000006,   West Yorkshire (Met County),"1,070.50",33.7,124.1,20.5,4.6,13.9,"1,267.30",444.2,120.6
E08000032,      Bradford,207.5,6.5,22.3,2.6,0.7,1.9,241.5,87.7,21.7
E08000033,      Calderdale,93.2,3.5,11.7,1.9,0.3,2.1,112.7,36.7,11.3
E08000034,      Kirklees,193.7,6.7,23.3,3.9,0.7,2.7,231,77.4,22.7
E08000035,      Leeds,410.8,9.9,46.4,8.4,2,3.4,481,170.5,45.2
E08000036,      Wakefield,165.3,7.1,20.3,3.8,0.9,3.8,201.2,71.8,19.8
,   Local Authority unknown 3,0.5,0.2,0.2,-,-,0.2,1.1,0.1,0.1
E12000004,East Midlands,"2,458.70",107.8,355.2,53.6,9.8,72.7,"3,057.70","1,004.50",340.6
E06000015,   Derby UA,120.5,4.4,14.4,1.3,0.3,1.2,142.1,49,14
E06000016,   Leicester UA,159.5,2.6,18.6,1.1,0.7,1,183.4,57.6,18.3
E06000018,   Nottingham UA,97.9,3.3,10.2,1.4,0.8,1.3,114.9,36.8,9.8
E06000017,   Rutland UA,22.9,1.1,2.5,0.4,0.1,1,28,9.7,2.4
E10000007,   Derbyshire,432.5,21.6,106.5,16.2,1.7,14.1,592.6,177.5,100.7
E07000032,      Amber Valley,69.8,3.7,10.2,2.9,0.6,2.3,89.5,28.7,9.8
E07000033,      Bolsover,41.3,2.1,5.8,1.3,0.2,1,51.7,18.5,5.7
E07000034,      Chesterfield,56.8,2.4,52.8,4.6,0.2,0.8,117.5,22.1,48.9
E07000035,      Derbyshire Dales,42.4,2.1,7.5,1.6,0.2,3.5,57.2,19,7.1
E07000036,      Erewash,59.4,3.3,10.2,2.8,0.2,1.1,76.9,22.2,9.9
E07000037,      High Peak,47.6,2.1,6.5,1.2,0.1,1.3,58.9,18.6,6.3
E07000038,      North East Derbyshire,55.9,2.7,7.2,0.8,0.2,2.6,69.4,23.2,6.9
E07000039,      South Derbyshire,59,3.1,6.3,1.1,0.1,1.5,71.2,25.2,6.1
,      Local Authority District unknown 3,0.1,0.1,-,-,-,0.1,0.3,-,-
E10000018,   Leicestershire,386.5,18.6,49.8,9.1,1.4,10.6,476,154.8,48.1
E07000129,      Blaby,57.2,2.2,6.8,0.9,0.2,0.9,68.4,22.2,6.6
E07000130,      Charnwood,90.8,4.1,14.7,2.9,0.7,1.6,114.8,35.6,14.3
E07000131,      Harborough,55.4,2.4,6.6,1,0.1,2.2,67.7,22.4,6.3
E07000132,      Hinckley and Bosworth,64.3,3.8,7.5,1,0.1,1.7,78.4,26.1,7.2
E07000133,      Melton,29.7,1.6,4.1,0.6,0.1,1.6,37.6,12.5,4
E07000134,      North West Leicestershire,58.4,3.5,7.8,2.5,0.2,2.3,74.6,24.5,7.5
E07000135,      Oadby and Wigston,30.6,1,2.3,0.1,0.1,0.2,34.3,11.5,2.2
,      Local Authority District unknown 3,0.1,0.1,-,-,0,-,0.2,-,-
E10000019,   Lincolnshire,405.8,21,54.4,6.8,2.1,23.7,513.8,179.3,52.3
E07000136,      Boston,35.6,1.5,5,0.6,0.3,2.3,45.3,16.4,4.8
E07000137,      East Lindsey,77.1,4.4,12,1.1,0.2,7.2,102.1,34.1,11.5
E07000138,      Lincoln,38.9,1.9,5.6,0.8,0.4,0.8,48.5,15.4,5.5
E07000139,      North Kesteven,66.9,3.8,8,1.2,0.7,3.3,84,29.6,7.7
E07000140,      South Holland,53.9,2.6,7.6,1.1,0.2,3.7,68.9,24.8,7.2
E07000141,      South Kesteven,79.8,3.8,8.9,1.2,0.2,2.8,96.7,35.1,8.5
E07000142,      West Lindsey,53.4,2.9,7.3,0.8,0.1,3.5,68,23.9,7
,      Local Authority District unknown 3,0.1,0.1,-,-,0,0.1,0.3,-,-
E10000021,   Northamptonshire,415.5,17.5,50.1,12,1.5,9.5,506.2,172.1,48.1
E07000150,      Corby,34.9,1.1,3.2,0.4,0.1,0.5,40.2,14.6,3.1
E07000151,      Daventry,51.6,2.5,6.7,4.9,0.1,2.2,68,21.5,6.4
E07000152,      East Northamptonshire,54.2,2.9,6.2,1,0.1,1.3,65.7,22.4,5.8
E07000153,      Kettering,59.5,2.4,8.5,0.6,0.2,0.8,72,24.8,8.2
E07000154,      Northampton,112.1,3.6,12.4,3,0.8,2,133.8,45.9,12.1
E07000155,      South Northamptonshire,60.4,3,7.5,1.2,0.1,2,74.2,25.4,7
E07000156,      Wellingborough,42.9,1.9,5.6,1,0.1,0.7,52.1,17.4,5.4
,      Local Authority District unknown 3,0.1,0.1,-,-,-,-,0.2,-,-
E10000024,   Nottinghamshire,417.3,17.6,48.4,5.4,1.2,10.1,499.9,167.5,46.8
E07000170,      Ashfield,61.1,2.8,7.6,1.1,0.1,0.9,73.7,24.5,7.4
E07000171,      Bassetlaw,61.9,3,8.3,1.2,0.2,2.6,77.1,28.5,8
E07000172,      Broxtowe,54.8,2.3,5.4,0.4,0.1,0.9,63.9,19.6,5.2
E07000173,      Gedling,58.6,2.3,6.1,0.6,0.2,0.7,68.5,21.1,6
E07000174,      Mansfield,53.2,2.2,6.2,0.4,0.1,0.6,62.7,21.2,6
E07000175,      Newark and Sherwood,65.1,3,8.9,1.1,0.3,2.9,81.2,28.5,8.6
E07000176,      Rushcliffe,62.6,2,5.9,0.6,0.1,1.4,72.6,24.1,5.6
,      Local Authority District unknown 3,0.1,-,-,-,0,-,0.1,-,-
,   Local Authority unknown 3,0.4,0.2,0.1,-,-,0.1,0.8,0.1,0.1
E12000005,West Midlands,"3,067.70",104.1,450.9,61.2,13.3,65.7,"3,762.80","1,267.50",437
E06000019,   Herefordshire County UA,108,5,18.6,2,0.6,9,143.1,46.8,17.7
E06000051,   Shropshire UA,178.3,7.8,28.5,3.5,0.7,12.3,231.1,78.5,27
E06000021,   Stoke-on-Trent UA,110.8,4.1,13.9,2.3,0.5,1,132.5,43.1,13.5
E06000020,   Telford and Wrekin UA,90.7,3.5,9.2,1.3,0.3,1.4,106.3,38.6,8.9
E10000028,   Staffordshire,469.5,20.9,57.5,12.6,2,13.4,575.9,191.1,55.3
E07000192,      Cannock Chase,53.1,2.5,8,3.4,0.1,1.3,68.4,21.4,7.7
E07000193,      East Staffordshire,62.2,3.1,7.6,1,0.4,2.6,76.8,28.2,7.3
E07000194,      Lichfield,60.4,2.4,7.1,1.2,0.1,1.2,72.5,23.8,6.8
E07000195,      Newcastle-under-Lyme,61.5,2.6,6.6,1.2,0.2,1,73,23.4,6.3
E07000196,      South Staffordshire,63.2,2.5,7.3,1.7,0.5,1.2,76.5,24.7,7.1
E07000197,      Stafford,74.2,3.3,8.6,1.2,0.3,2.6,90.2,31.1,8.3
E07000198,      Staffordshire Moorlands,55.4,2.7,8.5,1.1,0.4,3.1,71.1,23.4,8.1
E07000199,      Tamworth,39.2,1.8,3.8,2,0.1,0.4,47.2,15,3.7
,      Local Authority District unknown 3,0.1,-,-,-,0,-,0.2,-,-
E10000031,   Warwickshire,327.4,13.8,47.3,13.2,1.3,7.8,410.7,126.2,45.6
E07000218,      North Warwickshire,38.1,1.9,10.2,4.6,0.1,1.1,56,15.9,10
E07000219,      Nuneaton and Bedworth,67.4,2.8,9.9,0.7,0.1,0.6,81.5,26.4,9.6
E07000220,      Rugby,59.6,2.6,6,1.1,0.1,1.6,71,23.3,5.8
E07000221,      Stratford-on-Avon,85.4,3.8,10.3,1.2,0.3,3.3,104.2,33.1,9.6
E07000222,      Warwick,76.8,2.7,10.9,5.6,0.7,1.2,97.9,27.5,10.6
,      Local Authority District unknown 3,0.1,-,-,-,-,-,0.1,-,-
E11000005,   West Midlands (Met County),"1,429.20",33.6,232.8,21.1,6.9,12.6,"1,736.20",608.8,227.9
E08000025,      Birmingham,634.3,8.6,111.5,4.1,4,4.4,766.9,296.5,109.1
E08000026,      Coventry,140,4.3,13.8,1.3,0.5,3.1,163,54.6,13.4
E08000027,      Dudley,158.5,6.9,15.6,1.5,0.4,0.9,183.9,57.1,15.1
E08000028,      Sandwell,131.2,3.5,18.8,4.8,0.7,1.3,160.2,54.1,18.5
E08000029,      Solihull,132.3,3.2,49,2.6,0.3,1.4,188.9,51.5,48.5
E08000030,      Walsall,123.1,3.9,13.3,2.4,0.4,0.9,144,50.1,13
E08000031,      Wolverhampton,110,3.2,10.8,4.3,0.4,0.7,129.4,44.8,10.5
E10000034,   Worcestershire,353.2,15.1,42.8,5.1,1.1,8.1,425.4,134.2,40.9
E07000234,      Bromsgrove,59.3,2.2,7.2,0.7,0.3,0.9,70.7,22.6,6.9
E07000235,      Malvern Hills,49.1,2.6,6.5,0.6,0.2,2.2,61.1,19.2,6.1
E07000236,      Redditch,45,1.8,4.9,0.7,0.1,0.4,52.9,17.1,4.8
E07000237,      Worcester,56.3,2.2,5.9,0.4,0.2,0.6,65.6,19.4,5.7
E07000238,      Wychavon,86.9,3.6,11.2,1.8,0.3,2.9,106.7,34.7,10.6
E07000239,      Wyre Forest,56.6,2.7,7,0.9,0.2,1,68.3,21.1,6.7
,      Local Authority District unknown 3,0.1,-,-,0,0,-,0.2,-,-
,   Local Authority unknown 3,0.8,0.3,0.2,-,-,0.2,1.5,0.2,0.2
E12000006,East,"3,402.90",141.9,431.7,50.6,11.9,82.3,"4,121.30","1,254.80",412.8
E06000055,   Bedford UA,107.3,3.4,11.7,1.2,0.3,1.7,125.6,38.5,11.3
E06000056,   Central Bedfordshire UA,163.2,6.7,20.3,2.1,0.4,3,195.8,58,19.5
E06000032,   Luton UA,85.7,1.9,7.2,0.5,0.6,0.8,96.8,33,7
E06000031,   Peterborough UA,180.9,3.4,32.6,1.2,0.6,2,220.7,87.6,31.6
E06000033,   Southend-on-Sea UA,81.6,3.4,7.4,0.5,0.2,0.7,93.7,23.1,6.9
E06000034,   Thurrock UA,84.4,2.9,10,2.9,0.3,1.2,101.7,31.3,9.7
E10000003,   Cambridgeshire,348,16.4,45.5,6.5,1.8,11.5,429.8,140.3,43.5
E07000008,      Cambridge,41.5,1.9,6.4,0.2,0.5,0.4,51,13.7,6.2
E07000009,      East Cambridgeshire,50.4,2.5,7.2,2.2,0.3,2.8,65.2,21.5,6.9
E07000010,      Fenland,55.7,2.8,8.4,1.4,0.2,2.3,70.8,26,8.1
E07000011,      Huntingdonshire,107.3,4.7,13,1.6,0.6,3.3,130.4,43.9,12.3
E07000012,      South Cambridgeshire,93,4.6,10.4,1.2,0.3,2.6,112.1,35.2,9.9
,      Local Authority District unknown 3,0.1,-,-,-,-,0.1,0.2,-,-
E10000012,   Essex,806.2,33.8,101.9,11.3,2.4,16.8,972.4,278.7,97.4
E07000066,      Basildon,94.4,3.3,12.4,1.4,0.3,1.5,113.3,32.2,12
E07000067,      Braintree,85.5,4.2,12.1,1.2,0.2,2.1,105.2,31.9,11.5
E07000068,      Brentwood,47.6,1.4,5.4,0.6,0.1,0.7,55.8,16.8,5.2
E07000069,      Castle Point,49.6,2.1,6,0.5,0.2,0.5,58.8,16,5.8
E07000070,      Chelmsford,96.9,3.8,10.5,1.5,0.2,1.8,114.8,32.6,10
E07000071,      Colchester,93.6,4.6,10.8,0.8,0.2,1.7,111.5,33.5,10.3
E07000072,      Epping Forest,72.2,2.4,9.6,0.8,0.2,1.8,87,22.9,9.1
E07000073,      Harlow,42.9,1.5,4.7,1.5,0.1,0.4,51.1,14.2,4.5
E07000074,      Maldon,40,2,6.9,0.8,0.1,1.4,51.1,14.8,6.6
E07000075,      Rochford,48.6,2.2,6.1,0.5,0.3,0.7,58.4,14.8,5.8
E07000076,      Tendring,77.5,3.9,10,1,0.3,2.1,94.8,27.3,9.5
E07000077,      Uttlesford,57.2,2.3,7.5,0.8,0.2,2,70.1,21.8,7.1
,      Local Authority District unknown 3,0.3,0.1,-,-,-,0.1,0.5,-,-
E10000015,   Hertfordshire,637.9,21.1,66.8,7.2,1.9,8.7,743.7,200.2,64.2
E07000095,      Broxbourne,51.3,1.5,6.3,0.5,0.2,0.6,60.4,16.1,6.1
E07000096,      Dacorum,83.1,2.9,9.9,1.2,0.2,1.1,98.4,27.2,9.5
E07000242,      East Hertfordshire,84.1,3,9.3,0.8,0.2,1.5,98.9,28.1,8.8
E07000098,      Hertsmere,56.1,1.7,5,0.8,0.2,0.6,64.3,15.4,4.7
E07000099,      North Hertfordshire,72.5,2.8,7.5,0.8,0.2,1.4,85.2,23.3,7.2
E07000240,      St Albans,78.7,2.6,6.1,0.9,0.2,1.4,89.8,24.3,5.8
E07000243,      Stevenage,42.3,1.7,3.8,0.4,0.1,0.4,48.7,13.6,3.7
E07000102,      Three Rivers,51.5,1.7,6.1,0.6,0.2,0.8,61,15.8,5.8
E07000103,      Watford,60.2,1.3,4.3,0.2,0.1,0.2,66.4,18.3,4.1
E07000241,      Welwyn Hatfield,57.9,1.9,8.5,0.9,0.4,0.7,70.2,18.1,8.3
,      Local Authority District unknown 3,0.2,0.1,-,-,-,-,0.3,-,-
E10000020,   Norfolk,485.2,26.9,68.2,7.6,1.9,21,610.8,199.2,64.8
E07000143,      Breckland,79.9,4.9,11.5,2.1,0.4,4.6,103.4,36,11
E07000144,      Broadland,77.4,4.3,10.7,1,0.2,2.9,96.4,29.3,10.2
E07000145,      Great Yarmouth,47.4,2.6,5.7,0.4,0.2,1,57.3,18.7,5.4
E07000146,      Kings Lynn and West Norfolk,84.7,4.5,13.1,1.3,0.3,4.4,108.4,38.1,12.5
E07000147,      North Norfolk,59.6,3.2,9,1,0.2,3.3,76.3,23.8,8.4
E07000148,      Norwich,52.6,2.9,6.7,0.4,0.4,0.8,63.8,18.5,6.4
E07000149,      South Norfolk,83.5,4.4,11.4,1.4,0.2,4,104.9,34.7,10.8
,      Local Authority District unknown 3,0.1,0.1,-,-,-,0.1,0.3,-,-
E10000029,   Suffolk,422,21.7,59.8,9.5,1.4,14.8,529.2,164.9,56.8
E07000200,      Babergh,54.8,2.8,7.7,0.7,0.2,2,68.3,20.7,7.3
E07000201,      Forest Heath,39.8,1.7,5.5,0.6,0.1,1.2,49,15.2,4.9
E07000202,      Ipswich,62.3,3.1,6.9,1.3,0.3,0.6,74.7,23.4,6.6
E07000203,      Mid Suffolk,64,3.4,14.2,2.2,0.2,3.5,87.6,27.5,13.7
E07000204,      St Edmundsbury,62,2.7,7.7,1,0.2,2.1,75.6,25.3,7.3
E07000205,      Suffolk Coastal,78,4.4,9.7,3.1,0.2,3,98.4,30.3,9.2
E07000206,      Waveney,60.9,3.5,8,0.6,0.2,2.3,75.5,22.5,7.6
,      Local Authority District unknown 3,0.1,-,-,-,-,-,0.2,-,-
,   Local Authority unknown 3,0.5,0.3,0.2,-,-,0.2,1.2,0.1,0.1
E12000007,London,"2,661.00",113.7,213.1,19.7,19.1,34.4,"3,061.00",766,200.8
E12000007,   Inner London,707.8,42.6,49.7,3.6,6.9,11.5,822.1,194.2,45.3
E09000007,      Camden,41.4,2.4,3.5,0.3,0.1,0.6,48.2,10.1,3.2
E09000001,      City of London,2.4,0.1,0.4,-,-,0.1,3,0.8,0.4
E09000012,      Hackney,41.3,2.7,3.4,0.2,0.5,0.5,48.6,11.3,3.1
E09000013,      Hammersmith and Fulham,43.5,3.6,2.4,0.2,0.1,0.6,50.4,12.9,2.2
E09000014,      Haringey,61.8,3.4,4.9,0.4,1.9,0.4,72.8,17,4.5
E09000019,      Islington,35.5,2.7,2.8,0.2,0.2,0.7,42.1,8.6,2.4
E09000020,      Kensington and Chelsea,40.8,2.3,1.6,0.1,0.1,0.4,45.2,11.7,1.3
E09000022,      Lambeth,63,4.5,4.5,0.2,0.1,0.5,72.8,16.5,4
E09000023,      Lewisham,76.4,3.5,5.4,0.3,0.2,0.6,86.3,19.1,4.9
E09000025,      Newham,70.3,2.6,5.4,0.7,1.3,1.3,81.7,23,5.2
E09000028,      Southwark,57.4,3.9,4.1,0.3,1.4,0.9,67.9,14.6,3.7
E09000030,      Tower Hamlets,44.6,2.9,3,0.2,0.1,2.9,53.7,12.9,2.8
E09000032,      Wandsworth,79,5.7,5.4,0.4,0.3,0.5,91.3,22.5,4.9
E09000033,      Westminster,50.3,2.4,3.2,0.1,0.6,1.5,58.1,13.3,2.6
E12000007,   Outer London,"1,952.10",70.6,163,16.2,12.1,22.8,"2,236.70",571.7,155.3
E09000002,      Barking and Dagenham,64.9,1.8,5.9,0.8,0.2,0.9,74.5,21.8,5.8
E09000003,      Barnet,143.2,4.4,8.6,0.5,0.4,1.6,158.7,36.9,8.2
E09000004,      Bexley,106.6,4,9.5,1.3,1.1,1.5,124.1,30.5,9.1
E09000005,      Brent,92.2,4.9,8.6,1.2,2.1,0.8,109.8,27.8,8.3
E09000006,      Bromley,148.5,5.6,12,0.7,0.3,1.1,168.2,39.8,11.3
E09000008,      Croydon,141.1,5.3,11.7,0.5,0.3,0.7,159.7,37.8,11.2
E09000009,      Ealing,117,5,10.6,1.2,0.6,0.7,135,36.1,10
E09000010,      Enfield,120,3.1,11,2.3,0.3,4.3,141.1,35.3,10.7
E09000011,      Greenwich,78.6,3.1,5.7,0.5,0.3,0.7,89,22.3,5.3
E09000015,      Harrow,100.5,2.1,5.9,0.3,0.4,0.9,110.1,29.8,5.6
E09000016,      Havering,115.4,3.5,12.1,1.5,0.3,1.5,134.3,35.6,11.7
E09000017,      Hillingdon,141.7,4.1,16.2,1.5,0.6,1.3,165.3,47.6,15.6
E09000018,      Hounslow,97.5,4,8.3,1.3,0.5,1,112.6,31.7,7.8
E09000021,      Kingston upon Thames,66.2,3.2,5.6,0.2,0.2,0.5,75.9,18.9,5.2
E09000024,      Merton,70.1,3.6,6.1,0.8,2.7,2.5,85.7,19.8,5.8
E09000026,      Redbridge,105.6,2.5,6.8,0.3,0.3,0.8,116.3,33.7,6.6
E09000027,      Richmond upon Thames,77,3.8,3.9,0.1,1.1,0.4,86.5,21.4,3.6
E09000029,      Sutton,87.7,3.8,8.3,0.5,0.3,0.7,101.3,22.6,7.9
E09000031,      Waltham Forest,78.2,2.9,6.2,0.5,0.2,0.7,88.9,22.3,5.9
,   Local Authority unknown 3,1.1,0.5,0.3,-,-,0.2,2.2,0.1,0.2
E12000008,South East,"5,248.50",221.9,698.7,72.1,21.4,81.9,"6,344.40","1,863.30",669
E06000036,   Bracknell Forest UA,84.2,2.9,10.1,1.5,0.2,0.6,99.5,25.4,9.9
E06000043,   Brighton and Hove UA,93.5,5.2,10.9,0.4,0.7,0.6,111.3,28.4,10.2
E06000046,   Isle of Wight UA,72.4,6,11.3,0.7,0.3,1.8,92.5,19.6,10.2
E06000035,   Medway UA,134.6,6.1,13.4,1.5,0.5,1.8,157.9,48,13
E06000042,   Milton Keynes UA,324.9,5.5,35.8,9.7,1.5,1.7,379,147.2,34.9
E06000044,   Portsmouth UA,104.5,4.3,18.8,0.6,0.2,0.6,129.1,36.9,18.2
E06000038,   Reading UA,66.6,2.5,6.2,0.5,0.5,0.5,76.7,22.2,6
E06000039,   Slough UA,174.9,1.4,74.9,1.4,0.6,0.5,253.7,82.5,74.2
E06000045,   Southampton UA,98.1,4.6,11,0.6,0.3,0.7,115.4,33.4,10.5
E06000037,   West Berkshire UA,96.5,4.3,13.1,1.8,0.4,3.7,119.7,36.9,12.5
E06000040,   Windsor and Maidenhead UA,85.8,2.8,6.6,0.9,0.2,0.9,97.1,29.3,6.2
E06000041,   Wokingham UA,100,3.8,8.4,0.7,0.3,0.9,114,33.9,8
